CORRELATIVO,CLIENTE,FECHA_TRAN,FECHA_PROC,ACUMULA,REDIME,LOTE,CONVALOR,SINVALOR,TARGET,MES,DIA,DIA_SEMANA,DIAS_PROCESO
10133490,XXX385561,2026-01-01,2026-03-08,46,CARD,6877.0,46,0,0,1,1,4,66
10133491,XXX385561,2026-01-02,2026-03-08,41,CARD,6877.0,41,0,0,1,2,5,65
10133492,XXX385721,2026-01-01,2026-03-08,190,CARD,6877.0,190,0,0,1,1,4,66
10133493,XXX370192,2026-01-01,2026-03-08,71,CARD,6877.0,71,0,0,1,1,4,66
10133494,XXX370192,2026-01-02,2026-03-08,20,CARD,6877.0,20,0,0,1,2,5,65
10133495,XXX370192,2026-01-03,2026-03-08,21,CARD,6877.0,21,0,0,1,3,6,64
10133496,XXX359645,2026-01-01,2026-03-08,14,CARD,6877.0,14,0,0,1,1,4,66
10133497,XXX359645,2026-01-02,2026-03-08,97,CARD,6877.0,97,0,0,1,2,5,65
10133498,XXX408749,2026-01-01,2026-03-08,26,CARD,6877.0,26,0,0,1,1,4,66
10133499,XXX408749,2026-01-02,2026-03-08,126,CARD,6877.0,126,0,0,1,2,5,65
10133500,XXX408749,2026-01-03,2026-03-08,8,CARD,6877.0,8,0,0,1,3,6,64
10133501,XXX460592,2026-01-01,2026-03-08,115,CARD,6877.0,115,0,0,1,1,4,66
10133502,XXX427281,2026-01-02,2026-03-08,14,CARD,6877.0,14,0,0,1,2,5,65
10133503,XXX414036,2026-01-01,2026-03-08,50,CARD,6877.0,50,0,0,1,1,4,66
10133504,XXX414036,2026-01-02,2026-03-08,20,CARD,6877.0,20,0,0,1,2,5,65
10133505,XXX422825,2026-01-01,2026-03-08,18,CARD,6877.0,18,0,0,1,1,4,66
10133506,XXX397982,2026-01-02,2026-03-08,6,CARD,6877.0,6,0,0,1,2,5,65
10133507,XXX443503,2026-01-01,2026-03-08,12,CARD,6877.0,12,0,0,1,1,4,66
10133508,XXX443503,2026-01-02,2026-03-08,88,CARD,6877.0,88,0,0,1,2,5,65
10133509,XXX443503,2026-01-03,2026-03-08,78,CARD,6877.0,78,0,0,1,3,6,64
10133510,XXX370099,2026-01-01,2026-03-08,26,CARD,6877.0,26,0,0,1,1,4,66
10133511,XXX370099,2026-01-02,2026-03-08,26,CARD,6877.0,26,0,0,1,2,5,65
10133512,XXX450831,2026-01-03,2026-03-08,24,CARD,6877.0,24,0,0,1,3,6,64
10133513,XXX436595,2026-01-01,2026-03-08,90,CARD,6877.0,90,0,0,1,1,4,66
10133514,XXX436595,2026-01-02,2026-03-08,25,CARD,6877.0,25,0,0,1,2,5,65
10133515,XXX436595,2026-01-03,2026-03-08,41,CARD,6877.0,41,0,0,1,3,6,64
10133516,XXX437759,2026-01-03,2026-03-08,48,CARD,6877.0,48,0,0,1,3,6,64
10133517,XXX418342,2026-01-03,2026-03-08,255,CARD,6877.0,255,0,0,1,3,6,64
10133518,XXX400516,2026-01-01,2026-03-08,20,CARD,6877.0,20,0,0,1,1,4,66
10133519,XXX403942,2026-01-01,2026-03-08,113,CARD,6877.0,113,0,0,1,1,4,66
10133520,XXX403942,2026-01-02,2026-03-08,3,CARD,6877.0,3,0,0,1,2,5,65
10133521,XXX403942,2026-01-03,2026-03-08,6,CARD,6877.0,6,0,0,1,3,6,64
10133522,XXX450875,2026-01-01,2026-03-08,348,CARD,6877.0,348,0,0,1,1,4,66
10133523,XXX450875,2026-01-02,2026-03-08,114,CARD,6877.0,114,0,0,1,2,5,65
10133524,XXX385286,2026-01-02,2026-03-08,11,CARD,6877.0,11,0,0,1,2,5,65
10133525,XXX385286,2026-01-03,2026-03-08,6,CARD,6877.0,6,0,0,1,3,6,64
10133526,XXX448527,2026-01-01,2026-03-08,122,CARD,6877.0,122,0,0,1,1,4,66
10133527,XXX448527,2026-01-02,2026-03-08,107,CARD,6877.0,107,0,0,1,2,5,65
10133528,XXX448527,2026-01-03,2026-03-08,97,CARD,6877.0,97,0,0,1,3,6,64
10133529,XXX425668,2026-01-03,2026-03-08,144,CARD,6877.0,144,0,0,1,3,6,64
10133530,XXX434142,2026-01-01,2026-03-08,24,CARD,6877.0,24,0,0,1,1,4,66
10133531,XXX434142,2026-01-02,2026-03-08,13,CARD,6877.0,13,0,0,1,2,5,65
10133532,XXX434142,2026-01-03,2026-03-08,6,CARD,6877.0,6,0,0,1,3,6,64
10133533,XXX421808,2026-01-01,2026-03-08,37,CARD,6877.0,37,0,0,1,1,4,66
10133534,XXX421808,2026-01-02,2026-03-08,40,CARD,6877.0,40,0,0,1,2,5,65
10133535,XXX421808,2026-01-03,2026-03-08,20,CARD,6877.0,20,0,0,1,3,6,64
10133536,XXX285023,2026-01-01,2026-03-08,90,CARD,6877.0,90,0,0,1,1,4,66
10133537,XXX285023,2026-01-02,2026-03-08,89,CARD,6877.0,89,0,0,1,2,5,65
10133538,XXX285023,2026-01-03,2026-03-08,87,CARD,6877.0,87,0,0,1,3,6,64
10133539,XXX405347,2026-01-03,2026-03-08,12,CARD,6877.0,12,0,0,1,3,6,64
10133540,XXX435259,2026-01-01,2026-03-08,40,CARD,6877.0,40,0,0,1,1,4,66
10133541,XXX435259,2026-01-02,2026-03-08,44,CARD,6877.0,44,0,0,1,2,5,65
10133542,XXX376779,2026-01-03,2026-03-08,20,CARD,6877.0,20,0,0,1,3,6,64
10133543,XXX357189,2026-01-02,2026-03-08,6,CARD,6877.0,6,0,0,1,2,5,65
10133544,XXX427703,2026-01-02,2026-03-08,40,CARD,6877.0,40,0,0,1,2,5,65
10133545,XXX427703,2026-01-03,2026-03-08,49,CARD,6877.0,49,0,0,1,3,6,64
10133546,XXX423317,2026-01-03,2026-03-08,15,CARD,6877.0,15,0,0,1,3,6,64
10133547,XXX425954,2026-01-03,2026-03-08,2,CARD,6877.0,2,0,0,1,3,6,64
10133548,XXX432781,2026-01-01,2026-03-08,18,CARD,6877.0,18,0,0,1,1,4,66
10133549,XXX432781,2026-01-02,2026-03-08,20,CARD,6877.0,20,0,0,1,2,5,65
10133550,XXX392488,2026-01-01,2026-03-08,6,CARD,6877.0,6,0,0,1,1,4,66
10133551,XXX415292,2026-01-03,2026-03-08,99,CARD,6877.0,99,0,0,1,3,6,64
10133552,XXX359177,2026-01-02,2026-03-08,2,CARD,6877.0,2,0,0,1,2,5,65
